id,code,name,severity,description,match_patterns,match_priority,data_source_ids,created_at,updated_at,created_by,updated_by
3a9be3a5-2596-5e29-91f9-78a39eab5ba5,FILE_WRITE_FAILED,File Write Failed,high,The file could not be written to the target directory. Create the target directory and grant write permission to the transfer account.,"[""folder"", ""ec_to_snowflake"", ""recruiting"", ""requisition"", ""should"", ""failed"", ""cannot"", ""rojoconsultancy"", ""utility"", ""smbexception"", ""exception"", ""message"", ""error"", ""read"", ""rename""]",130,"{524e658b-f080-4936-a76c-1d8d997f6f85,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
040b5525-0d82-5c23-859d-32f6efa28f46,DNS_RESOLUTION_FAILED,DNS Resolution Failed,high,The target hostname could not be resolved. Verify the endpoint hostname and that it resolves from the runtime network.,"[""host"", ""name"", ""service"", ""known"", ""unknownhostexception"", ""failed"", ""exception"", ""adapter"", ""http"", ""httpresponseexception"", ""internal"", ""error"", ""java""]",90,"{524e658b-f080-4936-a76c-1d8d997f6f85,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
395871e2-f8e3-5b24-ac5b-c671b2c774ed,HTTP_REDIRECT_UNRESOLVED,HTTP Redirect Unresolved,medium,The endpoint answered with a redirect the flow did not follow. Point the flow at the API endpoint rather than the UI URL and attach credentials.,"[""http"", ""error"", ""response"", ""code"", ""with""]",180,"{524e658b-f080-4936-a76c-1d8d997f6f85,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
7880a66b-3597-5bb6-a7f4-17d9bed8f5b3,OAUTH_TOKEN_REQUEST_FAILED,OAuth Token Request Failed,critical,"The identity provider rejected the client-credentials or token exchange request. Verify the OAuth client credentials and granted scopes in the destination, then re-issue the secret if it has expired.","[""successfully"", ""generated"", ""authentication"", ""token"", ""from"", ""java"", ""lang"", ""exception"", ""assert"", ""postrequest"", ""connection"", ""apache"", ""camel"", ""camelexception"", ""version""]",20,"{524e658b-f080-4936-a76c-1d8d997f6f85,55313a88-a6c5-4a91-ac01-4423f8579eae,98338a40-4d04-4775-a0a4-1c793351bafc}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
6285c9ca-3ede-5b89-895a-b8a06baa2d0e,CONNECTION_REFUSED,Connection Refused,high,The TCP connection was refused or dropped by the peer or an intermediary. Confirm the service is listening and that firewall and proxy rules allow the route.,"[""http"", ""request"", ""failed"", ""with"", ""error"", ""refused"", ""connection"", ""adapter"", ""exception"", ""httpresponseexception"", ""internal"", ""<host>:sapmserx"", ""<host>:<n>"", ""java"", ""socketexception""]",110,"{45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
0f37df0b-b098-5cbe-b294-a07b3683eba7,CONNECTION_TIMEOUT,Connection Timeout,high,"The target did not respond within the configured timeout. Check backend health and response times, then tune the timeout if the backend is legitimately slow.","[""http"", ""request"", ""failed"", ""with"", ""error"", ""timeout"", ""host"", ""after"", ""adapter"", ""exception"", ""httpresponseexception"", ""internal"", ""connection"", ""fetching"", ""30000ms""]",100,"{45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
43f91fc8-56cb-5048-9bca-22a465a9058d,KEYSTORE_ENTRY_MISSING,Keystore Entry Missing,critical,A key pair or certificate alias referenced by the flow is absent from the keystore. Deploy the missing key pair under the exact alias the flow references.,"[""pair"", ""found"", ""alias"", ""snowflake_prod"", ""snowflake_qa""]",70,"{45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
a0108a12-bb7c-5d51-b427-f447dd7c06a3,CREDENTIAL_REJECTED,Credential Rejected,critical,"The target system refused the supplied user name, password, or key. Confirm the service account is unlocked and the stored credential matches the target system.","[""rojoconsultancy"", ""utility"", ""smbexception"", ""exception"", ""message"", ""<user>"", ""error"", ""failed"", ""connection"", ""adapter"", ""http"", ""httpresponseexception"", ""internal""]",30,{55313a88-a6c5-4a91-ac01-4423f8579eae},2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
2e451e52-b84a-5429-9350-e5854667b65d,CLOUD_CONNECTOR_UNAVAILABLE,Cloud Connector Unavailable,critical,The on-premise tunnel could not be used for this call. Check Cloud Connector status and expose the required host or function module for that location id.,"[""rojoconsultancy"", ""utility"", ""smbexception"", ""exception"", ""message"", ""error"", ""failed"", ""connection"", ""could not"", ""null"", ""adapter"", ""http"", ""httpresponseexception"", ""internal"", ""not found""]",120,{55313a88-a6c5-4a91-ac01-4423f8579eae},2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
6a2d4aee-2680-50cc-8fe4-d9532676d08f,ACCESS_DENIED,Access Denied,high,The identity authenticated successfully but lacks permission for the operation. Grant the required role or object permission to the integration service account.,"[""adapter"", ""http"", ""exception"", ""httpresponseexception"", ""internal"", ""error"", ""failed"", ""denied"", ""exceptions"", ""rfclibraryexception"", ""version"", ""encoding"", ""change"", ""hire"", ""date""]",60,"{524e658b-f080-4936-a76c-1d8d997f6f85,55313a88-a6c5-4a91-ac01-4423f8579eae,d5de8c01-6479-4924-867c-cfa39bf3ec34}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
766a4b4d-58fa-5ba6-bc15-cb2084cbcbb1,MAIL_DELIVERY_FAILED,Mail Delivery Failed,medium,"A notification email could not be delivered. Verify SMTP host, port, and credentials, and allow-list the sender address.","[""mail"", ""smtp"", ""smtpsendfailedexception"", ""authentication"", ""required"", ""failed"", ""exception"", ""javax"", ""authenticationfailedexception"", ""connect"", ""p0003"", ""mechanisms"", ""apache"", ""camel"", ""invalidpayloadexception""]",10,{55313a88-a6c5-4a91-ac01-4423f8579eae},2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
5d1b15e3-3f47-5b7f-86d2-c17ae8d8a875,SOAP_FAULT_RETURNED,SOAP Fault Returned,high,"The SOAP service answered with a fault instead of a business response. Read the fault code and message, then correct the request payload or query syntax.","[""inbound"", ""processing"", ""endpoint"", ""idoc_sfdc_update"", ""failed"", ""idoc"", ""zsd_process_credit_memo"", ""apache"", ""binding"", ""soap"", ""soapfault"", ""internal"", ""error"", ""service"", ""interceptor""]",200,"{45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
0b1eb999-ba30-57b2-b3b9-a273e3977ccd,TLS_TRUST_FAILED,TLS Trust Validation Failed,high,"Certificate, signature, or WS-Security validation failed during the handshake or message check. Renew or re-import the certificate chain and confirm the security policy matches the partner contract.","[""inbound"", ""processing"", ""endpoint"", ""sap_rfc_zsd_get_collection_notes_ii"", ""failed"", ""exception"", ""testsss"", ""zsd_get_collection_notes_ii"", ""zsd_request_remote_output_sfdc"", ""apache"", ""camel"", ""camelexception"", ""received"", ""fatal"", ""error""]",80,{55313a88-a6c5-4a91-ac01-4423f8579eae},2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
22410d97-2b17-5fe3-a9e2-4bb54047a269,AUTHENTICATION_ERROR,Authentication Error,medium,"Authentication attempt failed due to missing or invalid credentials, property configuration, or login method. Verify the configured authentication mechanism and ensure credentials are valid.","[""could"", ""find"", ""property"", ""with"", ""name"", ""loginmethod"", ""could not"", ""compilation"", ""error"", ""object"", ""disc_actions"", ""does"", ""fo_picklist"", ""globalinfo_usa"", ""managerrollup""]",999001,"{45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
56091ed4-db8e-5576-ba2c-3087187b58ab,APPLICATION_ERROR,Application Error,medium,A generic application-level error occurred. Review the error message details and application logs to identify the root cause.,"[""event"", ""started"", ""aadhaar_number"", ""please"", ""enter"", ""valid"", ""aadhaar"", ""could"", ""find"", ""property"", ""with"", ""name"", ""cust_onb_ticpercentpayycomonent"", ""could not"", ""employmenttypenav""]",999002,"{524e658b-f080-4936-a76c-1d8d997f6f85,45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
0b33920c-f1cf-5c2e-b002-1452d7d0971a,HTTP_NOT_FOUND,HTTP Not Found,medium,The HTTP endpoint returned a 404 Not Found error. Verify the endpoint URL and that the resource exists.,"[""adapter"", ""http"", ""exception"", ""httpresponseexception"", ""internal"", ""error"", ""failed"", ""not found""]",999010,{55313a88-a6c5-4a91-ac01-4423f8579eae},2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
a713f65b-f8d0-5c9b-bdee-ec8cb3cfb75f,DATABASE_ERROR,Database Error,medium,"A database operation failed. Check the error message for details on the specific constraint, column, or table involved.","[""operation"", ""table"", ""fo_paycomponent"", ""failed"", ""column"", ""error"", ""null"", ""fo_picklists"", ""<value>"", ""lms_activity_compl_status"", ""lms_activity_component_event_history"", ""picklists"", ""rec_jobapplicationsnapshot_outside_exp"", ""invalid"", ""text""]",999004,"{55313a88-a6c5-4a91-ac01-4423f8579eae,d5de8c01-6479-4924-867c-cfa39bf3ec34}",2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
27765357-fb84-5b24-9a5f-324069efa337,RESOURCE_LIMIT_EXCEEDED,Resource Limit Exceeded,medium,"A resource limit was exceeded (memory, array bounds, or similar constraint). Reduce payload size or concurrency, or increase the resource limit.","[""daily"", ""limit"", ""exceeded"", ""java"", ""lang"", ""exception"", ""arrayindexoutofboundsexception"", ""index"", ""bounds"", ""length"", ""target"", ""field"", ""source""]",999003,{55313a88-a6c5-4a91-ac01-4423f8579eae},2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
a30b289a-a130-5943-bc09-3077a64496d4,FILE_OPERATION_ERROR,File Operation Error,medium,"A file operation (read, write, or parse) failed. Verify file exists, permissions are correct, and the format matches expectations.","[""element"", ""name"", ""root"", ""found"", ""provided"", ""not found"", ""studentcompletions"", ""invalid"", ""xpath"", ""employeetime"", ""reason"", ""exception"", ""javax"", ""userid"", ""<ch>""]",999005,"{524e658b-f080-4936-a76c-1d8d997f6f85,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
9d447e0b-40dc-5000-b169-c6890e0f65e0,DATABASE_LOCK_CONTENTION,Database Lock Contention,medium,A database statement was blocked waiting for a lock held by another transaction. Reduce concurrency or serialise access to the affected table.,"[""error"", ""payroll"", ""area"", ""locked"", ""master"", ""statement"", ""statement_id"", ""table"", ""lms_activity"", ""<statement_id>"", ""prevailingwagejobrate"", ""cost"", ""center"", ""cost_center"", ""blocked""]",999006,"{55313a88-a6c5-4a91-ac01-4423f8579eae,d5de8c01-6479-4924-867c-cfa39bf3ec34}",2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
a3cc5d52-9f0b-5084-a734-817e5ea64bdd,FORMAT_ERROR,Format Error,medium,"A payload format error occurred (XML, JSON, or similar). Validate the payload structure and encoding.","[""java"", ""lang"", ""exception"", ""groovy"", ""text"", ""saxparseexception"", ""linenumber"", ""adapter"", ""exceptions"", ""rfclibraryexception"", ""version"", ""encoding"", ""nosuchmethodexception"", ""signature"", ""method""]",999007,{55313a88-a6c5-4a91-ac01-4423f8579eae},2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
29a69e10-69f3-56e5-93c2-3c15b7d93b9f,SQL_SYNTAX_ERROR,SQL Syntax Error,medium,A SQL statement has a syntax error. Use bind parameters instead of string concatenation and validate SQL before execution.,"[""compilation"", ""error"", ""parse"", ""line"", ""<eof>"", ""<value>"", ""syntax"", "".syntax error line <n> at position <n> unexpected "", "".parse error line <n> at position <n> near ""]",999008,"{55313a88-a6c5-4a91-ac01-4423f8579eae,d5de8c01-6479-4924-867c-cfa39bf3ec34}",2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
91fb9f1e-055c-532b-9ba3-0146e4a2990f,HTTP_SERVER_ERROR,HTTP Server Error,medium,The HTTP server returned a 5xx error or internal failure. Check backend health and review server logs for the cause.,"[""adapter"", ""http"", ""exception"", ""httpresponseexception"", ""internal"", ""<value>"", ""error"", ""failed"", ""cannot"", ""null"", ""<ch>"", ""bootstrap"", ""compoundemployee"", ""could not"", ""empbankaccount""]",999009,"{c3f1a9d2-5b47-4e08-9a61-7d2e4f8b3c15,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 17:35:30.493 +0530,2026-08-08 14:39:11.183 +0530,system,system
